id,full_name,html_url,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,language,topics,description,source
975716370,Raidensz/OTP-Bot-Telegram,https://github.com/Raidensz/OTP-Bot-Telegram,2025-04-30T19:23:11Z,2025-12-20T14:58:12Z,2025-12-20T14:58:09Z,16,16,1,Python,"otp, otp-applications, otp-bot, otp-bot-3dsecure, otp-bot-bank, otp-bot-bypass, otp-bot-discord, otp-bot-onetime, otp-bot-paypal, otp-bot-telegram, otp-bots, otp-bypass-2fa, otp-generator, otp-library, otp-twillo, otp-verification, otpauth, otpbot","OTP-Boss Bot is a Telegram bot that offers automatic voice call generation and OTP processing, integrated with Twilio and ElevenLabs APIs.",
975716365,Raidensz/NB-OTP-Bot-Telegram,https://github.com/Raidensz/NB-OTP-Bot-Telegram,2025-04-30T19:23:10Z,2025-12-20T14:57:36Z,2025-12-20T14:57:31Z,8,9,1,Python,"otp, otp-applications, otp-bot, otp-bot-3dsecure, otp-bot-bank, otp-bot-bypass, otp-bot-discord, otp-bot-onetime, otp-bot-paypal, otp-bot-telegram, otp-bots, otp-bypass-2fa, otp-generator, otp-library, otp-twillo, otp-verification, otpauth, otpbot",The NB OTP Bot generates voice calls and processes OTPs automatically via Telegram.,
933981815,tom-doerr/repo_posts,https://github.com/tom-doerr/repo_posts,2025-02-17T04:32:30Z,2025-12-20T14:57:21Z,2025-12-20T14:57:18Z,172,18,0,Python,,,
939047726,sexfrance/Spotify-ClientVersion,https://github.com/sexfrance/Spotify-ClientVersion,2025-02-25T22:54:18Z,2025-12-20T14:56:09Z,2025-12-20T14:56:05Z,5,0,0,Python,"client-version, clientversion, music-version, python, requests, spotify, spotify-account-creator, spotify-build, spotify-client, spotify-client-version, spotify-number, spotify-version, version","A simple script that tracks Spotify Web client, ios and android version by checking it every 10 minutes.",
1003916455,Krexind/quant-trading,https://github.com/Krexind/quant-trading,2025-06-17T20:46:18Z,2025-12-20T14:56:08Z,2025-12-20T14:56:04Z,17,3,0,Python,"algorithmic-trading, bollinger-bands, commodity-trading, macd, momentum-strategy, momentum-trading-strategy, options-strategies, options-trading, pair-trading, quant, quantimental-analysis, quantitative-finance, quantitative-trading, quantitative-trading-strategies, statistical-arbitrage, trading-algorithms, trading-bot, trading-strategies, trading-strategy, trading-systems","quantitative trading strategies including VIX Calculator, Pattern Recognition, Monte Carlo, Heikin-Ashi, Pair Trading",
947466040,Orinks/AccessiWeather,https://github.com/Orinks/AccessiWeather,2025-03-12T18:21:35Z,2025-12-20T14:55:23Z,2025-12-20T14:55:20Z,12,0,1,Python,,"An accessible desktop weather application with screen reader support. Get forecasts, alerts, and conditions from NWS, Open-Meteo, and Visual Crossing.",
956086427,dr-schlange/nallely-midi,https://github.com/dr-schlange/nallely-midi,2025-03-27T17:14:36Z,2025-12-20T14:55:09Z,2025-12-20T14:55:06Z,90,2,29,Python,"api, hot-patching, hot-replacement, live-coding, live-debugger, live-debugging, midi, midi-controller, midi-device, midi-route, midi-router, music, organic, python, synthesizer","An organic platform inspired by ""systems as living things"" for live experimentations around MIDI, music, visuals, and interactions. Make it useful, make it useless",
933455996,sciknoworg/YESciEval,https://github.com/sciknoworg/YESciEval,2025-02-16T01:53:53Z,2025-12-20T14:54:57Z,2025-12-20T14:55:00Z,8,1,0,Python,"large-language-models, llms-as-a-judge, reinforcement-learning, science-qa",YESciEval: Robust LLM-as-a-Judge for Scientific Question Answering https://pypi.org/project/YESciEval/,
1003925283,Vulthen/myhhub-stock-quantitative,https://github.com/Vulthen/myhhub-stock-quantitative,2025-06-17T21:09:43Z,2025-12-20T14:53:57Z,2025-12-20T14:53:54Z,5,3,0,Python,"backtest, backtesting, broker-trading-platform, cyq, distribution-of-chips, position-cost-distribution, quantitative, quantitative-finance, stock, stocks, strategies, strategy","stock. Obtain stock data, calculate stock indicators, chip distribution, identify stock patterns, comprehensive stock selection, stock selection strategy,",
997473383,miladtahanian/V2RayScrapeByCountry,https://github.com/miladtahanian/V2RayScrapeByCountry,2025-06-06T15:30:05Z,2025-12-20T14:53:27Z,2025-12-20T14:53:24Z,27,4,0,Python,"android, hiddify, ios, iran, nekobox, nekoray, sing-box, singbox-core, v2ray, v2rayng, xray-core",کافیگ V2Ray جدید به ازای کشور,
987159996,levispark/gen-playlist,https://github.com/levispark/gen-playlist,2025-05-20T16:59:48Z,2025-12-20T14:51:45Z,2025-12-20T14:51:42Z,5,3,0,Python,,Generated Channels Playlists,
979843529,vlad-ds/ai-trader-frontend,https://github.com/vlad-ds/ai-trader-frontend,2025-05-08T06:45:35Z,2025-12-20T14:49:48Z,2025-12-20T14:49:44Z,12,6,0,Python,,"A Streamlit dashboard application for visualizing trading account information and positions from the Alpaca Trading API. Features real-time portfolio tracking, profit/loss monitoring, and a trading diary interface with automated data updates via GitHub Actions.",
946570200,cm851228/my51228888,https://github.com/cm851228/my51228888,2025-03-11T10:50:00Z,2025-12-20T14:48:52Z,2025-12-20T14:48:49Z,12,6,0,Python,,,
993897837,abusaeeidx/Yupptv-Playlist,https://github.com/abusaeeidx/Yupptv-Playlist,2025-05-31T18:57:25Z,2025-12-20T14:48:48Z,2025-12-20T14:48:44Z,8,6,0,Python,,,
914704485,wisebobo/clashNodes,https://github.com/wisebobo/clashNodes,2025-01-10T06:16:25Z,2025-12-20T14:47:18Z,2025-12-20T14:47:15Z,5,0,0,Python,,,
973979385,JERRYZFC/yxip_git_action,https://github.com/JERRYZFC/yxip_git_action,2025-04-28T04:38:00Z,2025-12-20T14:47:13Z,2025-12-20T14:47:10Z,8,10,0,Python,,,
955396548,WulfgarW/homeassistant-pycupra,https://github.com/WulfgarW/homeassistant-pycupra,2025-03-26T15:16:26Z,2025-12-20T14:46:28Z,2025-12-20T14:53:37Z,34,6,0,Python,"cupra, homeassistant-custom-component, seat",A home assistant plugin using the pycupra library to add integration for your Cupra or Seat car,
918259998,DeterminateSystems/flakehub-cache-action,https://github.com/DeterminateSystems/flakehub-cache-action,2025-01-17T15:13:18Z,2025-12-20T14:46:22Z,2025-12-20T14:46:23Z,6,2,1,Python,,,
936684197,100rabhsah/ai-news-aggregator,https://github.com/100rabhsah/ai-news-aggregator,2025-02-21T14:05:08Z,2025-12-20T14:46:15Z,2025-12-20T14:46:12Z,5,5,0,Python,"ai-agent, ai-news-aggregator, artificial-intelligence-algorithms, autonomous, nlp, streamlit-webapp, webcrawler","An autonomous AI agent that crawls, summarizes, and publishes news articles.🚀",
1000917028,z562261070/Cailianpress-Feishu-Bot,https://github.com/z562261070/Cailianpress-Feishu-Bot,2025-06-12T14:16:12Z,2025-12-20T14:42:43Z,2025-12-20T14:42:38Z,12,1,0,Python,,财联社信息传到飞书,
983326739,machka-pasla/remnawave-tg-shop,https://github.com/machka-pasla/remnawave-tg-shop,2025-05-14T08:08:53Z,2025-12-20T14:42:13Z,2025-12-20T14:42:08Z,225,63,5,Python,,Remnawave TG Shop,
997074288,T3stAcc/V2Ray,https://github.com/T3stAcc/V2Ray,2025-06-05T23:12:37Z,2025-12-20T14:42:04Z,2025-12-20T14:42:01Z,13,1,0,Python,"proxy, shadowsocks, ss, trojan, v2ray, vless, vmess, vpn",,
937557069,kmnhan/xarray-lmfit,https://github.com/kmnhan/xarray-lmfit,2025-02-23T11:04:16Z,2025-12-20T14:41:57Z,2025-12-20T14:41:56Z,7,2,0,Python,"curve-fitting, lmfit, xarray, xarray-accessor",Fit lmfit models to xarray objects,
972123945,thexnumb/thexwriteup,https://github.com/thexnumb/thexwriteup,2025-04-24T15:13:43Z,2025-12-20T14:41:36Z,2025-12-20T14:41:31Z,6,1,0,Python,,Store all the latest Medium Articles by specific tags for the Bug Bounty hunting and Security filed and Notify on the Discord server,
973063740,V2RayRoot/V2RayConfig,https://github.com/V2RayRoot/V2RayConfig,2025-04-26T07:12:14Z,2025-12-20T14:41:19Z,2025-12-20T14:41:15Z,85,5,0,Python,"collector, free-config, internet, proxy, shadowsocks, torjan, v2ray, v2ray-vpn, vless, vmess",Automatically fetch free V2Ray configs from Telegram channels.,
920826012,rango-cfs/NewCollector,https://github.com/rango-cfs/NewCollector,2025-01-22T20:49:14Z,2025-12-20T14:41:02Z,2025-12-20T14:40:59Z,9,2,0,Python,,,
1001202473,Skillter/ProxyGather,https://github.com/Skillter/ProxyGather,2025-06-13T01:56:16Z,2025-12-20T14:40:38Z,2025-12-20T14:40:35Z,53,6,0,Python,"contributions-welcome, free, free-proxy, https-proxy, proxies, proxy, proxy-checker, proxy-list, proxy-scraper, python, scraper",Sophisticated proxy scraper and checker,
1005909542,Vanic24/VPN,https://github.com/Vanic24/VPN,2025-06-21T04:19:47Z,2025-12-20T14:40:35Z,2025-12-20T14:40:32Z,9,4,0,Python,,V2ray Nodes,
910744291,maoist2009/HTTPS_IP_finder,https://github.com/maoist2009/HTTPS_IP_finder,2025-01-01T09:25:08Z,2025-12-20T14:40:12Z,2025-12-20T14:40:09Z,18,3,1,Python,,find ip survive from gfw block whivch is availabep,
913132484,redgreat/stepwong,https://github.com/redgreat/stepwong,2025-01-07T05:11:44Z,2025-12-20T14:40:01Z,2025-12-20T14:39:58Z,13,10,0,Python,,ZEPP Life API刷微信支付宝步数,
983748827,DeterminateSystems/determinate-nix-action,https://github.com/DeterminateSystems/determinate-nix-action,2025-05-14T21:21:44Z,2025-12-20T14:39:48Z,2025-12-20T14:39:55Z,21,1,1,Python,,The Github Action for Determinate Nix,
949481778,tutw/platinsport-m3u-updater,https://github.com/tutw/platinsport-m3u-updater,2025-03-16T15:06:28Z,2025-12-20T14:39:18Z,2025-12-20T14:39:15Z,10,0,0,Python,,,
942049736,stephansturges/Tator,https://github.com/stephansturges/Tator,2025-03-03T13:46:49Z,2025-12-20T14:35:50Z,2025-12-20T14:35:47Z,56,9,0,Python,,my little YOLO annotator with some nice automation,
955375349,WulfgarW/pycupra,https://github.com/WulfgarW/pycupra,2025-03-26T14:41:08Z,2025-12-20T14:35:45Z,2025-12-20T14:39:02Z,9,3,0,Python,,A library to read and send vehicle data via Cupra/Seat portal using the same API calls as the MyCupra/MySeat mobile app,
910559646,TomoeMami/S1PlainTextArchive2025,https://github.com/TomoeMami/S1PlainTextArchive2025,2024-12-31T16:24:05Z,2025-12-20T14:35:10Z,2025-12-20T14:35:06Z,10,2,0,Python,,2025年S1帖子归档,
952515661,SECTL/SecRandom,https://github.com/SECTL/SecRandom,2025-03-21T12:08:06Z,2025-12-20T14:34:42Z,2025-12-20T14:34:38Z,58,9,8,Python,"pyside6, python, qfluentwidgets",一个易用的班级抽号软件，专为教育场景设计，让课堂点名更高效透明！,
973955985,cs3306/IPTV-Sources,https://github.com/cs3306/IPTV-Sources,2025-04-28T03:30:29Z,2025-12-20T14:33:10Z,2025-12-20T14:33:06Z,14,4,0,Python,,IPTV直播源收集整合项目,
941268024,PaulH97/Sen12Landslides,https://github.com/PaulH97/Sen12Landslides,2025-03-01T22:05:49Z,2025-12-20T14:30:14Z,2025-12-20T14:30:10Z,17,4,0,Python,,Official code repository of Sen12Landslides,
964908835,cyh92/iptv-api3,https://github.com/cyh92/iptv-api3,2025-04-12T02:27:42Z,2025-12-20T14:28:30Z,2025-12-20T14:28:26Z,6,1,0,Python,,,
960000972,Zhalslar/astrbot_plugin_browser,https://github.com/Zhalslar/astrbot_plugin_browser,2025-04-03T17:41:17Z,2025-12-20T14:28:26Z,2025-12-20T14:28:23Z,20,0,0,Python,,通过操控bot与浏览器交互（搜索、点击、滑动、滚动、缩放、输入、切换标签页、收藏等等）,
1000133050,redfree8/config-fetcher,https://github.com/redfree8/config-fetcher,2025-06-11T10:08:00Z,2025-12-20T14:25:55Z,2025-12-20T14:25:51Z,9,6,0,Python,,,
912602115,cook369/proxy-collect,https://github.com/cook369/proxy-collect,2025-01-06T02:25:01Z,2025-12-20T14:25:50Z,2025-12-20T14:25:46Z,5,2,0,Python,"clash-config, free-proxies, freeairport, proxies, v2ray-config",proxy collect sub,
980592703,davxy/jam-conformance,https://github.com/davxy/jam-conformance,2025-05-09T11:36:59Z,2025-12-20T14:22:44Z,2025-12-20T14:22:40Z,20,20,24,Python,,JAM Protocol Conformance Testing,
980586638,MinZin100000/Project-0,https://github.com/MinZin100000/Project-0,2025-05-09T11:24:32Z,2025-12-20T14:21:30Z,2025-12-20T14:21:26Z,5,0,0,Python,,,
964844222,melogabriel/tinfoil-shops-status,https://github.com/melogabriel/tinfoil-shops-status,2025-04-11T22:13:29Z,2025-12-20T14:20:39Z,2025-12-20T14:20:35Z,157,1,0,Python,"game-library, github-actions, github-pages, python, tinfoil, url-status",Tinfoil shops status. Check which tinfoil shops are active and working for Nintendo Switch.,
1006762615,anton-prosterity/documentation-search-mcp,https://github.com/anton-prosterity/documentation-search-mcp,2025-06-23T00:23:00Z,2025-12-20T14:20:01Z,2025-12-20T14:19:57Z,7,1,5,Python,,Documentation search MCP server with external configuration,
947813938,vulnebify/cidre,https://github.com/vulnebify/cidre,2025-03-13T09:40:37Z,2025-12-20T14:18:40Z,2025-12-20T14:18:36Z,23,2,2,Python,"afrinic, apnic, arin, cidr, countries-data, firewall, iptables, iptables-firewall, iptables-rules, lacnic, ripencc, ufw, ufw-firewall",A CLI tool for fetching and managing CIDR IP ranges from RIRs with firewall integration.,
974778658,soulripper13/hass-speedtest-ookla,https://github.com/soulripper13/hass-speedtest-ookla,2025-04-29T09:42:21Z,2025-12-20T14:17:00Z,2025-12-20T14:16:57Z,7,0,0,Python,"hacs-integration, sensor, speedtest-cli",Home Assistant integration for measuring internet speed using ookla speedtest-cli.,
949349630,arschlochnop/VulnWatchdog,https://github.com/arschlochnop/VulnWatchdog,2025-03-16T08:53:56Z,2025-12-20T14:16:35Z,2025-12-20T14:16:29Z,74,13,0,Python,,"VulnWatchdog 是一个自动化的漏洞监控和分析工具。它可以监控 GitHub 上的 CVE 相关仓库,获取漏洞信息和 POC 代码,并使用 GPT 进行智能分析,生成详细的分析报告。",
965321566,Lokam-AI/lokamspace,https://github.com/Lokam-AI/lokamspace,2025-04-12T22:36:41Z,2025-12-20T14:15:52Z,2025-12-20T15:04:10Z,6,0,3,Python,,"LokamSpace is an AI-first platform designed to empower small and medium-sized businesses (SMBs) with intelligent, plug-and-play AI agents. Each agent is built to automate specific functions — from marketing and branding to operations and analytics — tailored for business growth and scalability.",
1001527267,usemanusai/CodeMAD,https://github.com/usemanusai/CodeMAD,2025-06-13T14:31:54Z,2025-12-20T14:15:43Z,2025-12-20T14:15:40Z,5,0,1,Python,,,
949357813,ridwaanhall/ridwaanhall-com,https://github.com/ridwaanhall/ridwaanhall-com,2025-03-16T09:19:21Z,2025-12-20T14:15:36Z,2025-12-20T14:15:33Z,29,1,1,Python,"django, django-portfolio, flexforge, portfolio, portfolio-website, tailwind-portfolio, vercel","🚀 Django portfolio with real-time GitHub & WakaTime analytics, interactive guestbook, enterprise grade security, and lightning-fast performance.",
983297685,ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,https://github.com/ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,2025-05-14T07:12:31Z,2025-12-20T14:14:40Z,2025-12-20T14:14:37Z,8,0,0,Python,,,
959856182,ASTRACAT2022/VPN-FREE-astra.net-V1,https://github.com/ASTRACAT2022/VPN-FREE-astra.net-V1,2025-04-03T13:14:42Z,2025-12-20T14:11:20Z,2025-12-20T14:11:17Z,6,0,0,Python,"astracatvpn, vpn-connections, vpn-key, vpn-keys","Описание: 🚀 Добро пожаловать в официальный  репозиторий AstraCat VPN! Здесь вы найдете готовые конфигурации для подключения к самым быстрым серверам VPN, которые можно использовать абсолютно бесплатно. Наша цель — обеспечить стабильный и безопасный доступ в интернет без ограничений.",
917215864,Oaklight/onehub_prices,https://github.com/Oaklight/onehub_prices,2025-01-15T15:19:28Z,2025-12-20T14:08:59Z,2025-12-20T14:09:15Z,46,3,0,Python,,onehub pricing maintenance via api,
1003541891,namegenliang/fast-github-access,https://github.com/namegenliang/fast-github-access,2025-06-17T09:55:30Z,2025-12-20T14:08:45Z,2025-12-20T14:08:42Z,6,1,0,Python,,加速GitHub网页浏览。GitHub最新hosts。,
932911317,theriturajps/proxy-list,https://github.com/theriturajps/proxy-list,2025-02-14T18:46:34Z,2025-12-20T14:08:39Z,2025-12-20T14:08:35Z,10,2,0,Python,"proxies, proxy, proxy-server","Automatically updated repository of free public proxies. Hourly refreshed HTTP/HTTPS proxies for web scraping, cybersecurity, and testing. Raw list available with website.",
964331483,BuddyChewChew/localnow-playlist-generator,https://github.com/BuddyChewChew/localnow-playlist-generator,2025-04-11T03:43:00Z,2025-12-20T14:08:39Z,2025-12-20T14:08:35Z,11,3,1,Python,,✅ Local Now Channels ( With EPG ),
923292206,IsaacCheng9/order-book-simulator,https://github.com/IsaacCheng9/order-book-simulator,2025-01-28T00:48:46Z,2025-12-20T14:07:05Z,2025-12-20T14:25:51Z,5,1,8,Python,"analytics, docker, equities, execution, fastapi, kafka, market-data, matching-engine, order-book, polars, postgresql, python, quant, quant-trading, real-time, redis, sql, stocks, streamlit, trading","An equity order matching engine simulating US stock exchange mechanics with an interactive dashboard. Features price-time priority matching, trade execution, and real-time market data processing.",
1006207571,uzumstanley/PHIDATA,https://github.com/uzumstanley/PHIDATA,2025-06-21T18:24:07Z,2025-12-20T14:05:37Z,2025-12-20T14:05:34Z,15,11,0,Python,"agent, agent-based-modeling, api, artificial-intelligence, chromadb, dbt, financeai, rag-chatbot, reasoning-agent, websearch-agent",High level Multi Intelligent Agent,
1004770416,jm-cook/mspa-homeassistant,https://github.com/jm-cook/mspa-homeassistant,2025-06-19T06:44:10Z,2025-12-20T14:05:32Z,2025-12-20T14:05:28Z,16,3,1,Python,"homeassistant-custom-component, homeassistant-integration, spa",Home Assistant integration for the MSPA range of spa baths.,
930656072,dp-web4/Synchronism,https://github.com/dp-web4/Synchronism,2025-02-11T01:43:08Z,2025-12-20T14:03:23Z,2025-12-20T14:03:20Z,6,2,0,Python,,Unified model bridging quantum mechanics and cosmic evolution through intent dynamics,
955570780,arthur-ai/arthur-engine,https://github.com/arthur-ai/arthur-engine,2025-03-26T21:08:54Z,2025-12-20T14:00:05Z,2025-12-20T14:00:01Z,62,8,20,Python,"benchmarking, evaluation, genai, guardrails, llm, ml, monitoring",Make AI work for Everyone - Monitoring and governing for your AI/ML ,
990205325,cnpjpw/cnpjpw,https://github.com/cnpjpw/cnpjpw,2025-05-25T17:59:07Z,2025-12-20T13:54:34Z,2025-12-20T13:54:30Z,7,1,0,Python,"api-cnpj, api-cnpj-brazil, cnpjpw, consulta-cnpj, dados-abertos, osint, osint-python, tool",Ferramenta de OSINT para consultar dados do CNPJ,
987182411,Drakkar-Software/OctoBot-Market-Making,https://github.com/Drakkar-Software/OctoBot-Market-Making,2025-05-20T17:39:57Z,2025-12-20T13:54:58Z,2025-12-20T13:52:29Z,24,5,1,Python,"binance, bingx, bitcoin, bitget, bitmart, bot, coinex, cryptocurrency, hollaex, hyperliquid, kucoin, liquidity, market-making, market-making-bot, mexc, octobot, python, telegram, tradingbot, webinterface","Open source crypto market making automation software on MEXC, Bitmart, Binance and 15+ exchanges.",
974561592,TheSmartDevs/SmartUtilBot,https://github.com/TheSmartDevs/SmartUtilBot,2025-04-29T01:07:36Z,2025-12-20T13:52:26Z,2025-12-20T13:52:23Z,15,13,0,Python,"smartdev, smarttool, smartutil",Smart Util is the most complete bot designed to assist you with a wide array of tools. By @abirxdhack & @TheSmartDevs.,
954367447,galaxyproject/galaxy-mcp,https://github.com/galaxyproject/galaxy-mcp,2025-03-25T01:17:39Z,2025-12-20T13:52:20Z,2025-12-20T13:52:16Z,17,14,3,Python,,,
962664415,apprevenew-com/firebase-remote-config-python,https://github.com/apprevenew-com/firebase-remote-config-python,2025-04-08T13:46:47Z,2025-12-20T13:50:32Z,2025-12-20T13:51:11Z,7,0,0,Python,,Firebase Remote Config SDK,
939999519,ssmugabi/IDAPlugins,https://github.com/ssmugabi/IDAPlugins,2025-02-27T13:03:13Z,2025-12-20T13:49:39Z,2025-12-20T13:49:35Z,7,1,0,Python,"binary-ninja, binja, example-code, ida, ida-plugin, idapython-plugin","🔧 Integrate essential IDA Pro plugins for enhanced functionality, including deobfuscation, binary diffing, and custom cryptography support.",
957290647,Gotti0/batch_translator_with_gemini_ko,https://github.com/Gotti0/batch_translator_with_gemini_ko,2025-03-30T01:55:35Z,2025-12-20T13:46:46Z,2025-12-20T13:46:43Z,9,4,0,Python,,This is a novel translation project utilizing batch logic and the Gemini API.,
966099085,teraha-dev/statsfm-to-markdown,https://github.com/teraha-dev/statsfm-to-markdown,2025-04-14T12:00:14Z,2025-12-20T13:45:12Z,2025-12-20T13:46:13Z,5,0,2,Python,"apple-music, automation, github-actions, markdown, music, profile-readme, python, readme, spotify, spotistats, statsfm, workflow",GitHub Action to display your stats.fm top albums on your profile README as linked images with tooltips.,
997965978,kadirsener1/CanliTvListe,https://github.com/kadirsener1/CanliTvListe,2025-06-07T15:26:53Z,2025-12-20T13:44:32Z,2025-12-20T13:44:29Z,6,5,0,Python,,,
934382864,VIDA-NYU/UrbanMapper,https://github.com/VIDA-NYU/UrbanMapper,2025-02-17T18:30:27Z,2025-12-20T14:15:52Z,2025-12-20T13:42:51Z,59,3,4,Python,," Spatial Join & Enrich any urban layer given any external urban dataset of interest, streamline your urban analysis with Scikit-Learn-Like pipelines, and share your insights with the urban research community!",
944932068,andyjud/tiktok-clone,https://github.com/andyjud/tiktok-clone,2025-03-08T09:06:25Z,2025-12-20T13:42:28Z,2025-12-20T13:42:25Z,14,0,0,Python,,,
985616964,the-bird-F/Expressive-Vectors,https://github.com/the-bird-F/Expressive-Vectors,2025-05-18T06:40:59Z,2025-12-20T15:04:40Z,2025-12-20T13:38:35Z,7,0,0,Python,,,
993104776,sanderland/script_tok,https://github.com/sanderland/script_tok,2025-05-30T08:15:32Z,2025-12-20T13:38:01Z,2025-12-20T13:38:47Z,16,3,0,Python,"ai, bpe, large-language-models, tokenization, tokenizer","Code for the paper ""BPE stays on SCRIPT""",
978218642,jerome-benoit/freqai-strategies,https://github.com/jerome-benoit/freqai-strategies,2025-05-05T16:44:42Z,2025-12-20T13:37:52Z,2025-12-20T13:37:48Z,40,15,1,Python,,Freqtrade FreqAI strategies,
993375326,Ofcremeo/PlateYOLO-JP-Prototype,https://github.com/Ofcremeo/PlateYOLO-JP-Prototype,2025-05-30T17:21:42Z,2025-12-20T13:37:18Z,2025-12-20T13:37:15Z,5,0,0,Python,"anpr, classification, license-plate, license-plate-detection, license-plate-recognition, lpr, number-plate, number-plate-detection, number-plate-recognition, object-detection, onnx, python","# PlateYOLO-JP-PrototypeThis repository contains a prototype for detecting and recognizing Japanese license plates. It uses a two-stage pipeline to enhance accuracy and performance. 🐙🚀## Caution- The datasets for license plate detection and recognition are private.- The detection dataset is collected around the creator's home, which may affec",
968665925,marcosomma/orka-reasoning,https://github.com/marcosomma/orka-reasoning,2025-04-18T13:58:31Z,2025-12-20T13:37:18Z,2025-12-20T15:02:04Z,79,11,7,Python,"agentic-ai, agentic-ai-development, agentic-framework, agentic-rag, agentic-workflow, ai, cognition, llm-inference","Orchestrator Kit for Agentic Reasoning - OrKa is a modular AI orchestration system that transforms Large Language Models (LLMs) into composable agents capable of reasoning, fact-checking, and constructing answers with transparent traceability.",
993265301,Armaan29-09-2005/AI-OSINT-Security-Analyzer,https://github.com/Armaan29-09-2005/AI-OSINT-Security-Analyzer,2025-05-30T13:48:52Z,2025-12-20T13:37:15Z,2025-12-20T13:37:11Z,8,1,0,Python,"ai, ai-agent, analysis, cohere, cve, cve-analysis, cybersecurity, ip, ip-address, osint, osint-tool, osint-tools, python, security, security-analysis, shodan, streamlit, vulnerability-assessment","AI OSINT Security Analyzer is an intelligent platform that leverages AI to perform autonomous investigations across various intelligence sources. With features like multi-source integration and real-time threat intelligence, it ensures comprehensive security assessments. 🛡️🔍",
988709430,Zayden-Cyber/Backdoor,https://github.com/Zayden-Cyber/Backdoor,2025-05-23T00:48:40Z,2025-12-20T13:36:59Z,2025-12-20T13:36:56Z,13,3,0,Python,"android-sdk, apk, backdoor, backdoor-learning, backdoors, capstone, file-infector, hacking, machine-learning, macho, malware, metasploit, pdd, php, security, web-security, web-shell, windows",# BackdoorThis repository contains a Python-based backdoor and listener server designed for educational purposes. Explore the code to understand reverse shell communication and remote command execution. 🐍✨,
