full_name,language,description,stargazers_count,created_at,updated_at,pushed_at,cca_score,ceh_score,ciq_score,community_vitality_score,language_score,recognition_score,csq_score,language_maturity_score,update_recency_score,epm_score,dc_score,code_health_score,ise_score,crq_score,csd_score,maintenance_efficiency_score,tc_score,novel_tech_stack_score,research_connection_score,problem_novelty_score,ti_score,topic_trend_score,industry_application_score,mdm_score,topic_innovation_score,gr_score,vi_score,net_score,external_appeal_score,overall_potential_score,main_topic,num_topics,topic_entropy,overall_potential_score,overall_potential_level
Vulthen/myhhub-stock-quantitative,Python,"stock. Obtain stock data, calculate stock indicators, chip distribution, identify stock patterns, comprehensive stock selection, stock selection strategy,",5,2025-06-17 21:09:43+00:00,2025-12-20 14:53:57+00:00,2025-12-20 14:53:54+00:00,8.074079053565466,15.919192602169193,100,33.8013490321854,88,18.53234108297537,40.86407453814164,88,52.20457767610161,41.747572815533985,30,39.000484027600635,100,45,35,64.5,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.9,0.66,0.7190000000000001,0.5,0.4,0.4,0.43999999999999995,49.10543406356648,"proxy, list, http",1,-1.4426951601859516e-10,49.10543406356648,潜力中等
miladtahanian/V2RayScrapeByCountry,Python,کافیگ V2Ray جدید به ازای کشور,27,2025-06-06 15:30:05+00:00,2025-12-20 14:53:27+00:00,2025-12-20 14:53:24+00:00,19.194388942691063,18.481610275449853,100,39.146319173483874,88,42.422327866397254,53.70390278396117,88,52.20457767610161,27.184466019417478,20,37.681319359578644,85,46,30,57.599999999999994,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.6,0.54,0.6890000000000001,0.3,0.5,0.3,0.37,47.1428436652867,"proxy, free, list",1,-1.4426951601859516e-10,47.1428436652867,潜力中等
levispark/gen-playlist,Python,Generated Channels Playlists,5,2025-05-20 16:59:48+00:00,2025-12-20 14:51:45+00:00,2025-12-20 14:51:42+00:00,8.074079053565466,15.919192602169193,60,23.801349032185403,88,18.53234108297537,40.86407453814164,88,52.20457767610161,27.184466019417478,20,31.903396648959855,95,43,30,60.55,44.84050768588834,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.4483620307435534,0.5,0.30000000000000004,0.4,0.405,38.48075720270939,"otp, bot, tools",10,1.832358671319236,38.48075720270939,潜力一般
vlad-ds/ai-trader-frontend,Python,"A Streamlit dashboard application for visualizing trading account information and positions from the Alpaca Trading API. Features real-time portfolio tracking, profit/loss monitoring, and a trading diary interface with automated data updates via GitHub Actions.",12,2025-05-08 06:45:35+00:00,2025-12-20 14:49:48+00:00,2025-12-20 14:49:44+00:00,15.445977621635702,22.34541185344134,60,28.999285197358752,88,22.81956756667117,43.168272200560686,88,52.20457767610161,27.184466019417478,37,36.34028559704842,90,46,30,59.599999999999994,53.28747373671392,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.4821498949468557,0.4,0.4,0.3,0.37500000000000006,40.60087631768649,"bot, automation, trading",3,1.551756533020941,40.60087631768649,潜力中等
cm851228/my51228888,Python,,12,2025-03-11 10:50:00+00:00,2025-12-20 14:48:52+00:00,2025-12-20 14:48:49+00:00,15.445977621635702,22.34541185344134,0,13.99928519735875,88,22.81956756667117,43.168272200560686,88,52.20457767610161,27.184466019417478,20,32.94028559704842,85,46,30,57.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.4,0.3,0.3,0.34,33.08176626866574,"project, ddos, data",10,2.4192407033260657,33.08176626866574,潜力一般
abusaeeidx/Yupptv-Playlist,Python,,8,2025-05-31 18:57:25+00:00,2025-12-20 14:48:48+00:00,2025-12-20 14:48:44+00:00,13.004464713950139,22.34541185344134,0,13.022680034284525,88,17.417330264780542,40.264804746674564,88,52.20457767610161,27.184466019417478,20,31.63372524279967,85,46,30,57.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.5,0.2,0.4,0.37,33.17630290704743,"project, ddos, data",10,2.4192407033260657,33.17630290704743,潜力一般
wisebobo/clashNodes,Python,,5,2025-01-10 06:16:25+00:00,2025-12-20 14:47:18+00:00,2025-12-20 14:47:15+00:00,2.529317140887158,0.0,0,1.0117268563548634,88,0.0,30.90374770098023,88,52.20457767610161,27.184466019417478,20,27.42124957223722,95,43,30,60.55,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.3,0.2,0.3,0.265,27.67356947845252,"project, ddos, data",10,2.4192407033260657,27.67356947845252,潜力一般
JERRYZFC/yxip_git_action,Python,,8,2025-04-28 04:38:00+00:00,2025-12-20 14:47:13+00:00,2025-12-20 14:47:10+00:00,14.812269729620226,27.535679115560537,0,15.562395582294279,88,12.490266339347512,37.61672230392358,88,52.20457767610161,27.184466019417478,20,30.442088143561726,85,46,30,57.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.5,0.2,0.4,0.37,33.57290437420228,"project, ddos, data",10,2.4192407033260657,33.57290437420228,潜力一般
WulfgarW/homeassistant-pycupra,Python,A home assistant plugin using the pycupra library to add integration for your Cupra or Seat car,34,2025-03-26 15:16:26+00:00,2025-12-20 14:46:28+00:00,2025-12-20 14:53:37+00:00,22.021741209868896,22.34541185344134,100,41.629590632652025,88,40.39671098964022,52.61522186399339,88,52.20457767610161,27.184466019417478,25,38.19141294559314,85,46,30,57.599999999999994,69.97611242331922,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5489044496932769,0.3,0.5,0.3,0.37,45.06376924114717,"api, v2ray, free",2,0.9973719560530481,45.06376924114717,潜力中等
DeterminateSystems/flakehub-cache-action,Python,,6,2025-01-17 15:13:18+00:00,2025-12-20 14:46:22+00:00,2025-12-20 14:46:23+00:00,7.946922206350702,14.915839234729734,0,8.399312614695688,88,25.106793709749113,60.521251169085474,88,52.20457767610161,27.184466019417478,20,40.74912613288458,100,43,30,62.55,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.4,0.2,0.3,0.30500000000000005,33.2860412301672,"project, ddos, data",10,2.4192407033260657,33.2860412301672,潜力一般
100rabhsah/ai-news-aggregator,Python,"An autonomous AI agent that crawls, summarizes, and publishes news articles.🚀",5,2025-02-21 14:05:08+00:00,2025-12-20 14:46:15+00:00,2025-12-20 14:46:12+00:00,9.695817950737323,20.575257959182505,100,36.07966746600881,88,13.852135769191554,38.34866785629884,88,52.20457767610161,41.747572815533985,25,36.86855102077137,85,48,35,59.55,100.0,0.5,0.3,0.5,0.44000000000000006,0.8,0.9,0.7800000000000001,0.7490000000000001,0.5,0.4,0.4,0.43999999999999995,49.10612707065648,"ai, agent, telegram",1,-1.4426951601859516e-10,49.10612707065648,潜力中等
z562261070/Cailianpress-Feishu-Bot,Python,财联社信息传到飞书,12,2025-06-12 14:16:12+00:00,2025-12-20 14:42:43+00:00,2025-12-20 14:42:38+00:00,10.435301254377363,7.959596301084597,0,6.959979207130553,88,44.47025141987842,54.80457257192077,88,52.20457767610161,27.184466019417478,20,38.17662076416046,85,46,30,57.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.3,0.3,0.3,0.3,31.569206804531092,"project, ddos, data",10,2.4192407033260657,31.569206804531092,潜力一般
machka-pasla/remnawave-tg-shop,Python,Remnawave TG Shop,225,2025-05-14 08:08:53+00:00,2025-12-20 14:42:13+00:00,2025-12-20 14:42:08+00:00,43.25689975349554,54.86442185139407,60,51.50530754938614,88,34.45217815546704,65.54398861393993,88,52.20457767610161,27.184466019417478,20,43.00935798306909,100,48,30,64.3,44.83439123511833,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.4483375649404734,0.4,0.6,0.4,0.47,49.48994978276981,"proxy, free, list",10,1.8325618554156957,49.48994978276981,潜力中等
T3stAcc/V2Ray,Python,,13,2025-06-05 23:12:37+00:00,2025-12-20 14:42:04+00:00,2025-12-20 14:42:01+00:00,10.927341987977238,7.959596301084597,40,17.156795500570503,88,46.046958516397545,55.65198402077593,88,52.20457767610161,27.184466019417478,20,38.55795591614528,85,46,30,57.599999999999994,76.33689180070085,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5743475672028034,0.3,0.4,0.3,0.335,38.82774140242775,"api, v2ray, free",10,0.786071438944596,38.82774140242775,潜力一般
kmnhan/xarray-lmfit,Python,Fit lmfit models to xarray objects,7,2025-02-23 11:04:16+00:00,2025-12-20 14:41:57+00:00,2025-12-20 14:41:56+00:00,8.833505423731092,12.61566165809791,100,32.948883749826706,88,27.514617433422178,45.69165718361452,88,52.20457767610161,27.184466019417478,20,34.07580883942265,95,43,30,60.55,62.34936310596575,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.518397452423863,0.4,0.4,0.3,0.37500000000000006,42.00283175381846,"proxy, free, list",10,1.2507270842538154,42.00283175381846,潜力中等
thexnumb/thexwriteup,Python,Store all the latest Medium Articles by specific tags for the Bug Bounty hunting and Security filed and Notify on the Discord server,6,2025-04-24 15:13:43+00:00,2025-12-20 14:41:36+00:00,2025-12-20 14:41:31+00:00,6.325183309178838,7.959596301084597,60,20.315932029051144,88,31.681246336522847,47.93103889465859,88,52.20457767610161,70.873786407767,30,52.374792745314814,100,49,32,65.15,100.0,0.5,0.3,0.5,0.44000000000000006,0.6,0.4,0.5,0.679,0.3,0.30000000000000004,0.3,0.3,44.90644155632575,"otp, bot, tools",1,-1.4426951601859516e-10,44.90644155632575,潜力中等
V2RayRoot/V2RayConfig,Python,Automatically fetch free V2Ray configs from Telegram channels.,85,2025-04-26 07:12:14+00:00,2025-12-20 14:41:19+00:00,2025-12-20 14:41:15+00:00,27.374100456783587,20.575257959182505,100,43.15098046842731,88,62.14010567380844,64.30135027238244,88,52.20457767610161,27.184466019417478,25,43.45017072936821,85,46,30,57.599999999999994,71.18757100285184,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5537502840114074,0.3,0.6000000000000001,0.3,0.405,47.292784943208616,"api, v2ray, free",2,0.9571281731573604,47.292784943208616,潜力中等
rango-cfs/NewCollector,Python,,9,2025-01-22 20:49:14+00:00,2025-12-20 14:41:02+00:00,2025-12-20 14:40:59+00:00,10.315069599566007,12.61566165809791,0,8.541509420160672,88,31.681246336522847,47.93103889465859,88,52.20457767610161,27.184466019417478,20,35.08353060939248,95,46,30,61.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.4,0.2,0.3,0.30500000000000005,32.04597132683503,"project, ddos, data",10,2.4192407033260657,32.04597132683503,潜力一般
Skillter/ProxyGather,Python,Sophisticated proxy scraper and checker,53,2025-06-13 01:56:16+00:00,2025-12-20 14:40:38+00:00,2025-12-20 14:40:35+00:00,24.900872321012432,22.34541185344134,100,42.781243077109444,88,49.09857660130339,57.292095940352965,88,52.20457767610161,27.184466019417478,20,39.29600627995495,85,46,30,57.599999999999994,67.46366948327656,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5388546779331063,0.3,0.6000000000000001,0.3,0.405,46.07160558393048,"proxy, list, http",3,1.0808335039137167,46.07160558393048,潜力中等
Vanic24/VPN,Python,V2ray Nodes,9,2025-06-21 04:19:47+00:00,2025-12-20 14:40:35+00:00,2025-12-20 14:40:32+00:00,12.358218978309568,18.481610275449853,60,26.411851187731276,88,23.530086613229987,43.55014526754494,88,52.20457767610161,27.184466019417478,20,33.11212847719134,95,46,30,61.599999999999994,44.84279082851839,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.44837116331407356,0.4,0.30000000000000004,0.3,0.34,38.23281175865256,"api, v2ray, free",10,1.8322828269627918,38.23281175865256,潜力一般
maoist2009/HTTPS_IP_finder,Python,find ip survive from gfw block whivch is availabep,18,2025-01-01 09:25:08+00:00,2025-12-20 14:40:12+00:00,2025-12-20 14:40:09+00:00,15.727307919404089,18.219370178801018,60,27.667702730341993,88,38.95892947894067,67.96617132440409,88,52.20457767610161,27.184466019417478,30,46.09934020277795,100,46,30,63.599999999999994,44.84211937682553,0.5,0.3,0.5,0.44000000000000006,0.5,0.9,0.66,0.4983684775073022,0.3,0.4,0.3,0.335,42.34416327328713,"project, ddos, data",10,1.832305132105212,42.34416327328713,潜力中等
redgreat/stepwong,Python,ZEPP Life API刷微信支付宝步数,13,2025-01-07 05:11:44+00:00,2025-12-20 14:40:01+00:00,2025-12-20 14:39:58+00:00,17.74582337090566,27.535679115560537,60,31.735817038808452,88,17.829110567331295,40.486118739339986,88,52.20457767610161,27.184466019417478,22,32.133316539499106,85,46,30,57.599999999999994,27.173597881548297,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.3776943915261932,0.5,0.4,0.4,0.43999999999999995,39.354505398125795,"proxy, free, list",10,2.4192407113786265,39.354505398125795,潜力一般
DeterminateSystems/determinate-nix-action,Python,The Github Action for Determinate Nix,21,2025-05-14 21:21:44+00:00,2025-12-20 14:39:48+00:00,2025-12-20 14:39:55+00:00,13.928302416383666,10.259773877716423,60,24.162241823754215,88,55.81541715592125,77.02579988604042,88,52.20457767610161,27.184466019417478,20,48.176173055514305,100,46,30,63.599999999999994,55.37381208414642,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.49049524833658575,0.3,0.4,0.3,0.335,41.72570003377313,"github, nix, automation",10,1.4824498733302616,41.72570003377313,潜力中等
tutw/platinsport-m3u-updater,Python,,10,2025-03-16 15:06:28+00:00,2025-12-20 14:39:18+00:00,2025-12-20 14:39:15+00:00,6.553762781246115,0.0,0,2.621505112498446,88,0.0,30.90374770098023,88,52.20457767610161,27.184466019417478,20,27.42124957223722,85,46,30,57.599999999999994,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.3,0.2,0.3,0.265,27.633514042488414,"project, ddos, data",10,2.4192407033260657,27.633514042488414,潜力一般
stephansturges/Tator,Python,my little YOLO annotator with some nice automation,56,2025-03-03 13:46:49+00:00,2025-12-20 14:35:50+00:00,2025-12-20 14:35:47+00:00,26.686445123583407,26.44120657653445,60,34.929000351220424,88,43.12555838204133,54.08185858276281,88,52.20457767610161,27.184466019417478,25,38.85139946903938,85,46,30,57.599999999999994,55.37293182871154,0.5,0.3,0.5,0.44000000000000006,0.5,0.7,0.58,0.5204917273148462,0.3,0.5,0.3,0.37,42.95236452790991,"github, nix, automation",10,1.4824791147828484,42.95236452790991,潜力中等
WulfgarW/pycupra,Python,A library to read and send vehicle data via Cupra/Seat portal using the same API calls as the MyCupra/MySeat mobile app,9,2025-03-26 14:41:08+00:00,2025-12-20 14:35:45+00:00,2025-12-20 14:39:02+00:00,11.465711658733298,15.919192602169193,60,25.158002074252536,88,26.936024795417712,45.38068882002262,88,52.20457767610161,27.184466019417478,32,36.33587307580629,95,46,30,61.599999999999994,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.6,0.54,0.6890000000000001,0.4,0.30000000000000004,0.3,0.34,43.37667513372439,"otp, bot, tools",1,-1.4426951601859516e-10,43.37667513372439,潜力中等
TomoeMami/S1PlainTextArchive2025,Python,2025年S1帖子归档,10,2024-12-31 16:24:05+00:00,2025-12-20 14:35:10+00:00,2025-12-20 14:35:06+00:00,10.94788263475713,12.61566165809791,60,23.79463463423712,88,33.51047742219145,48.91417099828108,88,52.20457767610161,27.184466019417478,25,36.525940056022606,90,46,30,59.599999999999994,0.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.269,0.3,0.30000000000000004,0.3,0.3,33.5738466697638,Diverse,10,3.3219280934446673,33.5738466697638,潜力一般
